OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDHealthSnglLBRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTwinlLBRate1,FshNDTwinlLBRate2,FshNDTwinlLBRate3,FshNDTwinlLBRate4,FshNDTwinlLBRate5,FshNDTwinlLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,FshNDHealthSnglLB_TransRate6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDTwinLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,ThwNDHealthSnglLB_TransRate6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDTwinLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankingCycles6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrHealthSnglLB_TransRate,ThwDnrHealthSnglLB_TransRate,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrTwinLB_TransRate,ThwDnrTwinLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,100%,50%,0%,0%,0%,27%,40%,15%,23%,7%,49%,15%,8%,21%,43%,75,2,"Michael P. Steinkampf, MD",26,11,4,3,0,0,7.7,3 / 11,2 / 4,1 / 3,,,2.1,2.3,2.5,4.5,,,41.7,3 / 14,1 / 5,0 / 9,,,0.0,0 / 6,0 / 1,0 / 2,,,3.8,1 / 11,0 / 4,0 / 3,,,3.8,1 / 11,0 / 4,0 / 3,,,30.8,1 / 11,0 / 4,0 / 3,,,34.6,2 / 11,0 / 4,0 / 3,,,42.3,2 / 11,1 / 4,0 / 3,,,24,6,2,2,0,0,4.2,1 / 6,0 / 2,0 / 2,,,4.2,1 / 6,0 / 2,0 / 2,,,33.3,1 / 6,0 / 2,0 / 2,,,37.5,2 / 6,0 / 2,0 / 2,,,45.8,2 / 6,1 / 2,0 / 2,,,20,3,0,0,0,0,18,2,0,0,0,0,2.3,2.0,,,,,1.9,2.5,,,,,28.1,0 / 5,,,,,1 / 18,0 / 2,,,,,2 / 18,0 / 2,,,,,3 / 18,0 / 2,,,,,5 / 18,0 / 2,,,,,6 / 18,0 / 2,,,,,0,0,0,0,0,0,1,5,1,5,3.0,1.2,0 / 3,1 / 6,0 / 1,0 / 5,0 / 1,0 / 5,0 / 1,0 / 5,0 / 1,0 / 5,0 / 1,1 / 5,Alabama Fertility Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,0,AL
2,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,80%,0%,<1%,2%,29%,17%,18%,29%,4%,52%,67%,4%,29%,44%,411,2,"Virginia L. Houserman, MD",158,58,29,4,6,0,8.9,12.1,20.7,0 / 4,3 / 6,,1.8,2.0,2.4,2.7,3.7,,36.6,23.3,21.4,0 / 5,0 / 11,,16.5,0.0,4.8,0 / 3,0 / 3,,22.2,12.1,17.2,0 / 4,0 / 6,,25.3,15.5,20.7,0 / 4,0 / 6,,13.3,6.9,3.4,0 / 4,0 / 6,,38.6,22.4,24.1,0 / 4,0 / 6,,41.1,34.5,34.5,1 / 4,0 / 6,,135,50,23,3,3,0,25.9,14.0,21.7,0 / 3,0 / 3,,29.6,18.0,26.1,0 / 3,0 / 3,,15.6,8.0,4.3,0 / 3,0 / 3,,45.2,26.0,30.4,0 / 3,0 / 3,,48.1,40.0,43.5,1 / 3,0 / 3,,66,12,8,2,0,1,57,9,7,2,0,1,1.6,1.8,1.8,2.0,,,1.8,1.9,1.9,2.0,,2.0,31.2,4 / 14,3 / 13,1 / 4,,1 / 2,22.8,3 / 9,3 / 7,1 / 2,,1 / 1,22.8,4 / 9,3 / 7,1 / 2,,1 / 1,10.5,0 / 9,0 / 7,0 / 2,,0 / 1,33.3,4 / 9,3 / 7,1 / 2,,1 / 1,45.6,5 / 9,3 / 7,1 / 2,,1 / 1,5,2,2,1,0,0,25,30,21,28,1.8,1.8,36.8,23.5,23.8,7.1,23.8,21.4,9.5,10.7,38.1,32.1,42.9,32.1,ART Fertility Program of Alabama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
3,UNIVERSITY OF ALABAMA AT BIRMINGHAM,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,BIRMINGHAM,ALABAMA,100%,71%,0%,1%,0%,24%,9%,39%,16%,3%,41%,7%,5%,19%,22%,133,0,"Gordon W. Bates, MD",46,20,11,3,0,0,4.3,0.0,3 / 11,0 / 3,,,1.8,2.1,2.8,3.0,,,34.6,33.3,18.2,0 / 6,,,20.9,1 / 16,0 / 7,0 / 2,,,23.9,10.0,0 / 11,0 / 3,,,30.4,25.0,0 / 11,0 / 3,,,10.9,15.0,0 / 11,0 / 3,,,41.3,40.0,0 / 11,0 / 3,,,45.7,45.0,3 / 11,0 / 3,,,44,17,8,2,0,0,25.0,2 / 17,0 / 8,0 / 2,,,31.8,5 / 17,0 / 8,0 / 2,,,11.4,3 / 17,0 / 8,0 / 2,,,43.2,8 / 17,0 / 8,0 / 2,,,47.7,9 / 17,3 / 8,0 / 2,,,16,4,1,0,0,0,15,4,1,0,0,0,1.2,1.3,1.0,0.0,,0.0,1.7,1.5,2.0,,,,20.8,1 / 6,1 / 2,,,,1 / 15,1 / 4,0 / 1,,,,1 / 15,1 / 4,1 / 1,,,,2 / 15,0 / 4,0 / 1,,,,3 / 15,1 / 4,1 / 1,,,,4 / 15,1 / 4,1 / 1,,,,7,0,1,2,0,1,11,10,9,9,1.8,2.1,8 / 16,0 / 17,4 / 9,0 / 9,4 / 9,0 / 9,2 / 9,0 / 9,6 / 9,0 / 9,6 / 9,1 / 9,"University of Alabama at Birmingham, Reproductive Endocrinology and Infertility",Yes,No,Yes,Yes,Yes,Yes,Yes,0,AL
4,"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",,HUNTSVILLE,ALABAMA,100%,88%,0%,<1%,0%,29%,23%,39%,17%,6%,32%,9%,1%,32%,22%,157,0,"Andrew J. Harper, MD",56,19,16,10,1,0,0.0,1 / 19,0 / 16,1 / 10,0 / 1,,2.1,2.2,2.6,2.9,3.0,,35.9,32.4,36.1,6 / 19,1 / 3,,5.9,0 / 15,0 / 13,0 / 8,0 / 1,,16.1,7 / 19,2 / 16,1 / 10,0 / 1,,21.4,7 / 19,3 / 16,2 / 10,0 / 1,,17.9,1 / 19,4 / 16,0 / 10,0 / 1,,39.3,8 / 19,7 / 16,2 / 10,0 / 1,,53.6,9 / 19,8 / 16,6 / 10,1 / 1,,54,17,14,8,1,0,16.7,7 / 17,2 / 14,1 / 8,0 / 1,,22.2,7 / 17,3 / 14,2 / 8,0 / 1,,18.5,1 / 17,4 / 14,0 / 8,0 / 1,,40.7,8 / 17,7 / 14,2 / 8,0 / 1,,55.6,9 / 17,8 / 14,6 / 8,1 / 1,,22,9,5,3,0,1,22,8,5,3,0,1,3.1,4.0,5.0,3.0,,,1.7,1.8,2.0,3.0,,1.0,37.5,2 / 14,1 / 10,0 / 9,,0 / 1,27.3,0 / 8,1 / 5,0 / 3,,0 / 1,31.8,0 / 8,1 / 5,0 / 3,,0 / 1,4.5,1 / 8,0 / 5,0 / 3,,0 / 1,36.4,1 / 8,1 / 5,0 / 3,,0 / 1,59.1,1 / 8,1 / 5,0 / 3,,0 / 1,0,0,0,0,0,0,6,9,6,8,1.8,1.6,4 / 11,3 / 13,1 / 6,2 / 8,1 / 6,2 / 8,1 / 6,0 / 8,2 / 6,2 / 8,3 / 6,3 / 8,"Huntsville Reproductive Medicine, PC",Yes,Yes,Yes,Yes,Yes,No,No,0,AL
5,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,85%,0%,3%,1%,18%,16%,18%,22%,<1%,42%,12%,<1%,15%,15%,229,2,"George T. Koulianos, MD",87,32,25,10,3,1,11.5,12.5,16.0,2 / 10,1 / 3,1 / 1,1.8,2.0,2.7,3.5,5.0,,50.4,40.0,23.5,2 / 14,0 / 10,,18.1,0.0,0 / 18,0 / 4,0 / 2,,27.6,9.4,4.0,0 / 10,0 / 3,0 / 1,34.5,15.6,8.0,0 / 10,0 / 3,0 / 1,17.2,18.8,12.0,0 / 10,0 / 3,0 / 1,52.9,34.4,20.0,0 / 10,0 / 3,0 / 1,58.6,40.6,32.0,1 / 10,0 / 3,0 / 1,74,24,20,4,2,0,32.4,12.5,5.0,0 / 4,0 / 2,,40.5,20.8,10.0,0 / 4,0 / 2,,20.3,25.0,15.0,0 / 4,0 / 2,,62.2,45.8,25.0,0 / 4,0 / 2,,68.9,54.2,40.0,1 / 4,0 / 2,,18,15,3,2,0,2,18,14,2,2,0,2,1.4,2.3,2.0,0.7,,,1.8,1.9,3.0,2.0,,2.5,39.3,16.0,4 / 6,2 / 4,,0 / 3,5 / 18,4 / 14,1 / 2,0 / 2,,0 / 2,5 / 18,4 / 14,1 / 2,0 / 2,,0 / 2,2 / 18,0 / 14,0 / 2,1 / 2,,0 / 2,7 / 18,4 / 14,1 / 2,1 / 2,,0 / 2,11 / 18,5 / 14,2 / 2,1 / 2,,1 / 2,4,1,1,2,0,0,11,10,9,8,1.7,1.6,6 / 15,5 / 9,1 / 9,2 / 8,2 / 9,3 / 8,0 / 9,0 / 8,3 / 9,3 / 8,4 / 9,7 / 8,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes,0,AL
6,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,96%,0%,0%,0%,32%,50%,43%,21%,43%,32%,7%,0%,50%,32%,32,0,"Botros M. Rizk, MD",11,9,1,2,0,0,1 / 11,0 / 9,0 / 1,0 / 2,,,2.5,2.3,1.0,3.0,,,24.0,4.8,0 / 1,0 / 3,,,0 / 8,0 / 7,,0 / 1,,,2 / 11,1 / 9,0 / 1,0 / 2,,,2 / 11,1 / 9,0 / 1,0 / 2,,,2 / 11,0 / 9,0 / 1,0 / 2,,,4 / 11,1 / 9,0 / 1,0 / 2,,,4 / 11,1 / 9,0 / 1,0 / 2,,,10,9,1,1,0,0,2 / 10,1 / 9,0 / 1,0 / 1,,,2 / 10,1 / 9,0 / 1,0 / 1,,,2 / 10,0 / 9,0 / 1,0 / 1,,,4 / 10,1 / 9,0 / 1,0 / 1,,,4 / 10,1 / 9,0 / 1,0 / 1,,,4,0,1,0,0,0,4,0,1,0,0,0,1.0,,,,,,3.0,,3.0,,,,2 / 12,,0 / 3,,,,0 / 4,,0 / 1,,,,0 / 4,,0 / 1,,,,1 / 4,,0 / 1,,,,1 / 4,,0 / 1,,,,1 / 4,,0 / 1,,,,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,University of South Alabama IVF and ART Program,No,No,No,No,Yes,Yes,Yes,0,AL
7,PENINSULA MEDICAL CENTER,"JOHN NELS ANDERSON, MD",SOLDOTNA,ALASKA,100%,67%,0%,0%,0%,17%,14%,19%,7%,0%,47%,4%,19%,0%,26%,72,0,"John N. Anderson, MD",29,9,10,2,0,1,0.0,0 / 9,1 / 10,0 / 2,,0 / 1,2.9,2.0,2.3,3.0,,1.0,6.2,1 / 16,1 / 16,0 / 6,,0 / 1,0.0,0 / 7,0 / 7,0 / 2,,,13.8,1 / 9,0 / 10,0 / 2,,0 / 1,17.2,1 / 9,0 / 10,0 / 2,,0 / 1,0.0,0 / 9,0 / 10,0 / 2,,0 / 1,17.2,1 / 9,0 / 10,0 / 2,,0 / 1,20.7,3 / 9,1 / 10,0 / 2,,0 / 1,29,9,7,2,0,1,13.8,1 / 9,0 / 7,0 / 2,,0 / 1,17.2,1 / 9,0 / 7,0 / 2,,0 / 1,0.0,0 / 9,0 / 7,0 / 2,,0 / 1,17.2,1 / 9,0 / 7,0 / 2,,0 / 1,20.7,3 / 9,1 / 7,0 / 2,,0 / 1,10,2,2,3,0,0,10,2,2,3,0,0,2.0,2.0,2.0,,,,2.5,1.5,2.5,2.3,,,4.0,0 / 3,0 / 5,0 / 7,,,1 / 10,0 / 2,0 / 2,0 / 3,,,1 / 10,0 / 2,0 / 2,0 / 3,,,0 / 10,0 / 2,0 / 2,0 / 3,,,1 / 10,0 / 2,0 / 2,0 / 3,,,1 / 10,0 / 2,0 / 2,0 / 3,,,0,0,0,0,0,0,4,0,3,0,2.0,,2 / 6,,0 / 3,,0 / 3,,1 / 3,,1 / 3,,1 / 3,,"Peninsula Medical Center, John Nels Anderson, MD",No,No,No,No,Yes,No,No,0,AK
8,TROCHƒ FERTILITY CENTERS,,GLENDALE,ARIZONA,100%,94%,0%,<1%,4%,16%,17%,34%,9%,<1%,72%,4%,3%,5%,41%,242,0,"Vladimir TrochŽ, MD",61,25,24,21,4,1,3.3,0.0,4.2,14.3,0 / 4,1 / 1,2.0,2.2,2.6,3.4,2.7,,33.0,17.8,14.3,6.8,1 / 8,,11.3,0.0,0 / 16,0 / 12,0 / 2,,26.2,16.0,4.2,14.3,1 / 4,0 / 1,29.5,16.0,12.5,14.3,1 / 4,0 / 1,11.5,8.0,4.2,0.0,0 / 4,0 / 1,41.0,24.0,16.7,14.3,1 / 4,0 / 1,44.3,32.0,25.0,14.3,1 / 4,0 / 1,55,22,19,13,3,0,29.1,18.2,1 / 19,3 / 13,1 / 3,,32.7,18.2,3 / 19,3 / 13,1 / 3,,12.7,9.1,1 / 19,0 / 13,0 / 3,,45.5,27.3,4 / 19,3 / 13,1 / 3,,49.1,36.4,6 / 19,3 / 13,1 / 3,,42,27,9,3,0,2,36,24,8,3,0,2,2.8,3.4,2.7,1.0,,,1.8,1.9,2.0,1.7,,1.5,23.1,15.2,0 / 16,0 / 5,,0 / 3,16.7,25.0,0 / 8,0 / 3,,0 / 2,16.7,25.0,0 / 8,0 / 3,,0 / 2,8.3,0.0,0 / 8,0 / 3,,0 / 2,25.0,25.0,0 / 8,0 / 3,,0 / 2,33.3,25.0,0 / 8,0 / 3,,0 / 2,0,0,0,0,0,0,14,9,13,8,1.8,2.0,56.5,5 / 14,5 / 13,1 / 8,5 / 13,3 / 8,4 / 13,0 / 8,9 / 13,3 / 8,9 / 13,4 / 8,TrochŽ Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
9,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,59%,0%,0%,<1%,15%,21%,53%,6%,2%,47%,7%,5%,10%,35%,327,13,"Drew V. Moffitt, MD",37,38,23,10,2,0,10.8,10.5,21.7,2 / 10,2 / 2,,2.0,2.1,2.4,2.4,,,33.9,17.2,16.3,1 / 19,,,20.0,10.7,0 / 16,0 / 6,,,24.3,18.4,21.7,1 / 10,0 / 2,,29.7,21.1,21.7,1 / 10,0 / 2,,10.8,2.6,4.3,0 / 10,0 / 2,,40.5,23.7,26.1,1 / 10,0 / 2,,43.2,23.7,26.1,1 / 10,0 / 2,,32,31,18,8,0,0,28.1,22.6,5 / 18,1 / 8,,,34.4,25.8,5 / 18,1 / 8,,,12.5,3.2,1 / 18,0 / 8,,,46.9,29.0,6 / 18,1 / 8,,,50.0,29.0,6 / 18,1 / 8,,,59,33,21,7,6,2,53,32,19,7,6,1,1.8,1.7,1.5,1.0,1.0,,1.5,1.6,1.5,1.6,1.3,1.0,38.3,40.0,39.3,3 / 11,2 / 8,0 / 1,18.9,21.9,5 / 19,1 / 7,2 / 6,0 / 1,22.6,25.0,6 / 19,3 / 7,2 / 6,0 / 1,9.4,9.4,2 / 19,0 / 7,0 / 6,0 / 1,34.0,34.4,8 / 19,3 / 7,2 / 6,0 / 1,43.4,46.9,9 / 19,3 / 7,2 / 6,0 / 1,20,8,11,6,6,0,12,13,12,12,1.8,1.5,52.4,8 / 17,2 / 12,3 / 12,4 / 12,4 / 12,2 / 12,1 / 12,6 / 12,5 / 12,7 / 12,8 / 12,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,0,AZ
10,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,61%,0%,0%,0%,16%,10%,42%,26%,10%,30%,19%,3%,20%,28%,75,1,"Sujatha Gunnala, MD",25,8,12,4,1,1,0.0,0 / 8,2 / 12,0 / 4,0 / 1,0 / 1,2.0,2.5,2.4,3.0,2.0,2.0,35.9,25.0,0.0,0 / 9,0 / 2,0 / 2,1 / 19,0 / 8,0 / 7,0 / 3,0 / 1,0 / 1,28.0,3 / 8,0 / 12,0 / 4,0 / 1,0 / 1,28.0,3 / 8,0 / 12,0 / 4,0 / 1,0 / 1,8.0,1 / 8,0 / 12,0 / 4,0 / 1,0 / 1,36.0,4 / 8,0 / 12,0 / 4,0 / 1,0 / 1,36.0,4 / 8,0 / 12,0 / 4,0 / 1,0 / 1,20,8,10,3,1,1,35.0,3 / 8,0 / 10,0 / 3,0 / 1,0 / 1,35.0,3 / 8,0 / 10,0 / 3,0 / 1,0 / 1,10.0,1 / 8,0 / 10,0 / 3,0 / 1,0 / 1,45.0,4 / 8,0 / 10,0 / 3,0 / 1,0 / 1,45.0,4 / 8,0 / 10,0 / 3,0 / 1,0 / 1,4,3,2,1,0,0,4,3,1,1,0,0,0.8,,0.3,1.0,,,1.8,2.0,1.0,2.0,,,2 / 7,3 / 6,0 / 1,1 / 2,,,0 / 4,1 / 3,0 / 1,1 / 1,,,0 / 4,1 / 3,0 / 1,1 / 1,,,1 / 4,1 / 3,0 / 1,0 / 1,,,1 / 4,2 / 3,0 / 1,1 / 1,,,1 / 4,2 / 3,0 / 1,1 / 1,,,2,0,3,0,0,0,7,1,5,1,2.2,2.0,2 / 11,1 / 2,0 / 5,1 / 1,0 / 5,1 / 1,1 / 5,0 / 1,1 / 5,1 / 1,1 / 5,1 / 1,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
