Clinic Table Data Dictionary,,,
Variable,Label,Type,Size
OrderID,Alphabetical Order ID,Long Integer,3
PrevClinName1,First line of reporting year clinic name,Text,120
PrevClinName2,Second line of reporting year clinic name,Text,100
ClinCityCode,Reporting year clinic city,Text,25
ClinStateCode,Reporting year clinic state,Text,35
IVF_Rate,Percentage of fresh nondonor cycles with IVF performed,Text,4
ICSI_Rate,Percentage of fresh nondonor cycles with ICSI,Text,4
Unstimulated_Rate,Percentage of fresh nondonor cycles that were unstimulated,Text,4
Gest_Rate,Percentage of fresh nondonor cycles that used a gestational carrier,Text,4
PGD_Rate,Percentage of fresh nondonor cycles with PGD performed,Text,4
Diag_TubalRate,ART Patient Diagnosis (Tubal factor),Text,4
Diag_OvulatoryRate,ART Patient Diagnosis (Ovulatory dysfunction),Text,4
Diag_DORRate,ART Patient Diagnosis (Diminished ovarian reserve),Text,4
Diag_EndometriosisRate,ART Patient Diagnosis (Endometriosis),Text,4
Diag_UterineRate,ART Patient Diagnosis (Uterine factor),Text,4
Diag_MaleRate,ART Patient Diagnosis (Male factor),Text,4
Diag_OtherRate,ART Patient Diagnosis (Other factor),Text,4
Diag_UnknownRate,ART Patient Diagnosis (Unknown factor),Text,4
Diag_ComboNoMaleRate,ART Patient Diagnosis (Female factors only),Text,4
Diag_ComboMaleRate,ART Patient Diagnosis (Female & male factors),Text,4
TotNumberCycles,Total number of cycles reported by clinic (excludes cycles evaluting new procedures) ,Text,5
TotUsingFrozenEggs,Total number of cycles using frozen eggs reported by clinic,Text,5
MedicalDirector,Data verified by (Name of Medical Director),Text,100
FshNDCycle1,(Fresh Nondonor Eggs) Number of cycles <35,Text,5
FshNDCycle2,(Fresh Nondonor Eggs) Number of cycles 35-37,Text,5
FshNDCycle3,(Fresh Nondonor Eggs) Number of cycles 38-40,Text,5
FshNDCycle4,(Fresh Nondonor Eggs) Number of cycles 41-42,Text,5
FshNDCycle5,(Fresh Nondonor Eggs) Number of cycles 43-44,Text,5
FshNDCycle6,(Fresh Nondonor Eggs) Number of cycles >44,Text,5
FshNDCansRate1,(Fresh Nondonor Eggs) Cancellations per 100 cycles <35,Text,7
FshNDCansRate2,(Fresh Nondonor Eggs) Cancellations per 100 cycles 35-37,Text,7
FshNDCansRate3,(Fresh Nondonor Eggs) Cancellations per 100 cycles38-40,Text,7
